country,sector,fuel,issue_code,year_start,year_end,issue,description,flag_drop,tot_drop,fuel_keep,grey,geo_change,fiscal_year,ex_ex
CAN,industrial,naturalgas,data availability,1971,1989,data not available,before 1990 data for consumption of natural gas for construction is not available,,,,9,,,
CAN,industrial,electricity,ex-post revision,1971,1987,time series break,break in time series between 1987 and 1988 for industry,,,,0,,,
CAN,,biofuelsandwaste,extrapolation,1990,2004,estimated data,"IEA estimated data for biogases, industrial and municipal waste from 1990 - 2004 base on info supplied by Natural Resources Canada",,,,,,,1
CAN,,,methodology change,1990,2012,,Breaks in time series 1989-1990. Changes in methodology,,,,,,,
CAN,,naturalgas,ex-post revision,1971,2004,time series break,revisions back to 2005 created a time series break between 2004 and 2005,,,,0,,,
CAN,,coal,ex-post revision,2004,2011,,Year 2004-2011. Revisions to timeseries,,,,0,,,
CAN,,coal,data availability,2005,2012,data available,improvements in data collection gave way to more data available between 2005 to 2015,,,,0,,,
CAN,,electricity,ex-post revision,2005,2012,possible breaks in time series,revisions back to 2005 on inputs and outputs of power plants as well as breakdown of final electricity consumption,,,,0,,,
CAN,,,ex-post revision,2005,2012,,Year >=2005. Revision of timeseries,,,,0,,,
CAN,,naturalgas,ex-post revision,2005,2012,,Breaks in time series 2004-2005,,,,0,,,
CAN,industrial,naturalgas,extrapolation,2011,2012,,Year 2011-2014. Administration estimated consumption data for refined petroleum products,,,,,,,1
CAN,industrial,naturalgas,extrapolation,2011,2012,,"Year 2011-2014. Administration estimated consumption data for iron, steel, aluminum, non-ferrous metal manufacturing",,,,,,,1
CAN,commercial,electricity,methodology change,2011,2012,time series break,revision of electricity consumption for 2012 according to a new methodology causes a break in times series between 2011 and 2012,,,,,,,
CAN,industrial,heat,data availability,2012,2012,data unavailable,"starting from 2012, heat consumption became confidential",,,,9,,,
CAN,commercial,electricity,methodology change,2012,2012,,Break in timeseries 2011-2012. Revision of consumption for commercial and public services,,,,,,,
CAN,industrial,naturalgas,real anomaly,2012,2012,increase in consumption,increase in consumption by non-metallic mineral production is due to switching from coal to natural gas,,,,,,,
CHE,,heat,data availability,1971,2012,direct use is overstated,no time specification,,,,0,,,
CHE,,naturalgas,methodology change,1978,2012,,level differences for year <= 1977,,,,,,,
CHE,,naturalgas,methodology change,1978,2012,,year >= 1978: new survey,,,,,,,
CHE,,heat,data availability,1990,2012,newly available data,from 1990,,,,1,,,
CHE,,heat,data availability,1990,2012,newly available data,from 1990,,,,1,,,
CHE,,oil,real anomaly,1994,2012,increase in consumption,"in 1994, the increase in consumption is due to consumer stock-building prior to the intro of a value-added excise tax on heating fuels as of 1 Jan 1995",,,,,,,
CHE,,,methodology change,1999,2012,,"year >= 1999: new survey, not comparable with previous data",,,,,,,
CHE,,biofuelsandwaste,real anomaly,2006,2012,decrease in demand,in 2006,,,,,,,
CHE,,naturalgas,real anomaly,2007,2007,decrease in demand,reduced operation of one plant after the start up of a new waste incineration plant and the shutting down of another plant. Use increases again in 2008 due to the re-starting of a district heating plant,,,,,,,
CHE,,biofuelsandwaste,real anomaly,2007,2012,increase in demand,in 2007,,,,,,,
CHL,,biofuelsandwaste,extrapolation,1971,2012,,Year <=2013. Charcoal consumption,,,,,,,1
CHL,,oil,methodology change,2009,2012,,Break in timeseries 2008-2009. By administration,,,,,,,
CHN,,,data source change,1971,1990,change in reporting,,,,,,,,
CHN,,biofuelsandwaste,extrapolation,1971,2012,estimated data,1/1 estimated,,,,,,,1
CHN,,biofuelsandwaste,extrapolation,1997,2012,,>=1997,,,,0,,,1
CHN,,,ex-post revision,2000,2010,,time series break between 1999 and 2000,,,,0,,,
CIV,,,extrapolation,2002,2004,estimated data,1/1 estimated,,,,,,,1
CIV,,,extrapolation,2005,2008,estimated data,1/3 estimated,,,,,,,
CIV,,,extrapolation,2009,2012,estimated data,1/2 estimated,,,,,,,
CMR,,electricity,ex-post revision,2012,2012,,time series break between 2011 and 2012,,,,0,,,
COG,,biofuelsandwaste,,1971,2012,estimated data,1/2 estimated,,,,,,,
COG,,,ex-post revision,2000,2012,,time series break between 1999 and 2000,,,,0,,,
CRI,,,,1971,2012,estimated data,1/3 estimated,,,,,,,
CUB,,,real anomaly,1992,2012,,Breaks in time series in early 90s are assumed due to codification of embargo imposed on Cuba in 1992,,,,,,,
CUW,,oil,real anomaly,2010,2012,time series break,Isla refinery did not operate at its maximum cpacity in 2010,,,,,,,
CUW,,,real anomaly,2012,2012,change in geographic region,"From 2012 onwards, data now account for the energy statistics of CUracao Island only",,,,,1,,
CYP,,biofuelsandwaste,ex-post revision,1971,2008,time series break,between 2008 and 2009,,,,0,,,
CYP,,,data source change,1993,2012,change in reporting,,,,,,,,
CZE,,oil,extrapolation,1971,1994,estimated data,"before 1994, data are estimated by IEA",,,,,,,1
CZE,industrial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,industrial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,industrial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,commercial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,commercial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,commercial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,industrial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,commercial,coal,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,,biofuelsandwaste,data availability,1990,2012,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,,biofuelsandwaste,data availability,1990,2012,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,,
CZE,residential,biofuelsandwaste,methodology change,1990,2012,,Year >=1990. Consumption in residential sector revised upwards,,,,,,,
CZE,,electricity,methodology change,1990,2012,,Breaks in timeseries 1989-1990. Data submitted by Czech adminstration,,,,,,,
CZE,commercial,coal,real anomaly,1990,2012,time series break,"due to economic restructuring in consumption in the late 1990s, there may be breaks in time series ",,,,,,,
CZE,,biofuelsandwaste,data availability,1992,2012,,Year<1992. Data unavailable,,,,1,,,
CZE,,naturalgas,methodology change,1994,2012,,Year 1993-1994. Change in energy balance methodology,,,,,,,
CZE,,oil,methodology change,1971,1998,time series break,new data management system led to breaks in consumption time series between 1998 and 1999,,,,,,,
CZE,,naturalgas,real anomaly,1971,1998,time series break,restructuring of Czech electricity market leads to breaks in tim series in all sector between 1998 and 1999,,,,,,,
CZE,,biofuelsandwaste,methodology change,1999,2001,,Breaks in timeseries 1999. New survey system,,,,,,,
CZE,,oil,data availability,1999,2012,,Year 1998-1999. New data management system implemented by the administration.,,,,0,,,
CZE,,biofuelsandwaste,real anomaly,1999,2012,,Breaks in timeseries 1998-1999. Restructuring of Czech electricity markets,,,,,,,
CZE,,coal,ex-post revision,1971,2001,time series break,revisions by the Czech administration have resulted in some breaks in time series betwen 2001 and 2002,,,,0,,,
CZE,,biofuelsandwaste,methodology change,2002,2002,,Breaks in timeseries 2002. New survey system,,,,,,,
CZE,,electricity,data availability,2003,2012,,Year >=2003 data only available,,,,1,,,
CZE,,electricity,data availability,1971,2009,time series break,"as a result of having new administrative data, there are breaks in time series between 2009 and 2010",,,,0,,,
CZE,,coal,ex-post revision,1971,2009,time series break,revised data may cause breaks in time series,,,,0,,,
CZE,,coal,methodology change,1971,2009,new survey causes break in residential consumption time series,coal consumption in the residential sector has been revised due to new survey data creating time series breaks between 2009 and 2010,,,,,,,
CZE,industrial,oil,ex-post revision,2010,2012,revisions to data,,,,,0,,,
CZE,,coal,ex-post revision,2010,2012,,Year 2010-2012. Improved reporting for certain primary coal consumption flows,,,,0,,,
DEU,,naturalgas,extrapolation,1971,1994,end-use consumption data are estimated,"prior to 1995, end-use consumption data are based on Arbeitsgemeinschaft Energiebilanzen.",,,,,,,0
DEU,,coal,extrapolation,1971,2012,,Partly estimated by administration,,,,,,,
DEU,,oil,methodology change,1994,2012,,Year >=1994. Final consumption by individual sector improved due to new survey,,,,,,,
DEU,,oil,methodology change,1995,2012,,Year = 1995. Alignment with the Classification of the Economic Activities in the European Community (NACE).,,,,,,,
DEU,,biofuelsandwaste,methodology change,1971,1996,time series break,new survey for renewables causes breaks in time series,,,,,,,
DEU,,heat,methodology change,1971,1998,time series break,new survey for renewable products can cause breaks in time series between 1998 and 1999,,,,,,,
DEU,,coal,real anomaly,1998,2005,,Break in timeseries 1998-2005,,,,,,,
DEU,,coal,real anomaly,1998,2005,,Break in timeseries 1998-2005,,,,,,,
DEU,,electricity,ex-post revision,1971,2000,time series break,revisions to consumption data may cause breaks in time series,,,,0,,,
DEU,,heat,ex-post revision,1971,2002,time series break,"German administration performed some major revisions back to 2003, this led to breaks",,,,0,,,
DEU,,electricity,ex-post revision,1971,2002,time series break,"German administration performed some major revisions back to 2003, this led to breaks",,,,0,,,
DEU,,naturalgas,methodology change,1971,2002,time series break,modifications in reporting methodology leads to breaks in some sectors,,,,,,,
DEU,,oil,methodology change,1971,2002,time series break in consumption,breaks due to structural changes in energy statistics following the Energy Statistics Act,,,,,,,
DEU,,heat,real anomaly,2002,2004,time series break,implementation of Energy Statistics Act leads to breaks in time series,,,,,,,
DEU,,coal,ex-post revision,2003,2011,"revisions to all primary coal types, derived products and manufactured gases","revisions affected consumption, supply, statistical differences and weighted calorific values",,,,0,,,
DEU,,heat,data availability,2003,2012,,Year >=2003. Only data available for direct use,,,,1,,,
DEU,,electricity,ex-post revision,2003,2012,,Break in timeseries 2002-2003. By admin,,,,0,,,
DEU,,,data availability,2004,2012,,Break in timeseries 2003-2004. Implementation of Energy Statistics Act led to more efficient data collection,,,,0,,,
DEU,,biofuelsandwaste,methodology change,1971,2011,time series break,changes to methodology caused time series breaks,,,,,,,
DNK,,heat,data availability,1971,1976,data unavailable,heat data are not available before 1976,,,,9,,,
DNK,industrial,electricity,combined sectors,1971,2012,combined sectors,electricity consumption in non-specified industry includes consumption in district heating plants and for the distribution of electricity.,1,1,0,,,,
DNK,,oil,extrapolation,1971,2012,estimated data,"consumption data is based on surveys sent to companies every other year. for non survey years, figures are estimated by the Danish Energy Agency",,,,,,,1
DNK,,solarandgeothermal,data availability,1978,2012,data available,direct use of solar thermal energy is available from 1978,,,,1,,,
DNK,,oil,data availability,1988,2012,,Year <=1987. Data unavailable,,,,1,,,
DNK,,electricity,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1990,,,,0,,,
DNK,,naturalgas,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1993,,,,0,,,
DNK,,heat,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1990,,,,0,,,
DNK,,coal,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1995,,,,0,,,
DNK,,biofuelsandwaste,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1992,,,,0,,,
DNK,,oil,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1994,,,,0,,,
DNK,,solarandgeothermal,ex-post revision,1971,1989,time series break,revision made by Danish administration for the 1990 - 2001 data which may cause time series breaks between 1989 and 1991,,,,0,,,
DNK,,oil,data availability,1989,2012,data available,information on waste oil recycling and final consumption befings in 1989,,,,1,,,
DNK,industrial,heat,ex-post revision,1990,2012,,Year >=1990. Revision by administration,,,,0,,,
DNK,industrial,biofuelsandwaste,ex-post revision,1971,2010,time series break in consumption,revisions cause breaks in solid biofuels consumption between 2010 and 2011,,,,0,,,
DOM,,,data source change,1998,2012,,time series break between 1997 and 1998,,,,,,,
DZA,,,ex-post revision,1971,2008,time series break,between 2008 and 2009,,,,0,,,
ECU,,oil,data availability,1971,2011,time series break,between 2011 and 2012 for some oil products,,,,0,,,
ECU,,,ex-post revision,2004,2012,,Ecuador has revised historical data since 2004,,,,0,,,
EGY,,,data source change,1992,2012,reporting change,,,,,,,,
ERI,,,data availability,1992,2012,prior to 1992 included in Ethiopia,,,,,1,1,,
ESP,industrial,naturalgas,combined sectors,1971,1993,time series break,a large number of CHP autoproducers were previously included in industry consumption,1,1,0,,,,
ESP,,oil,methodology change,1971,1995,time series breaks,a change in the reporting system occured mid 1996 resulting in some breaks in time series,,,,,,,
ESP,,biofuelsandwaste,combined sectors,1971,2005,,year <= 2005: biogases erroneously included as inputs to tranformation rather than consumption,1,1,0,,,,
ESP,,heat,methodology change,1971,2005,time series break,"Starting in 2006, a new method was used to estimate the losses from final consumption, resulting in a break in time series between 2005 and 2006",,,,,,,
ESP,,naturalgas,methodology change,1971,2005,time series breaks,between 2005 and 2006 there are some breaks in time sereis for finalconsuption due to a change in the estimation methodology,,,,,,,
ESP,,electricity,methodology change,1971,2005,time series break,"Starting in 2006, a new method was used to estimate the losses from final consumption, resulting in a break in time series between 2005 and 2006",,,,,,,
ESP,,heat,data availability,1990,2012,,year >= 1990: data available,,,,1,,,
ESP,,heat,data availability,1994,2012,data newly available,available from 1994,,,,1,,,
ESP,,naturalgas,real anomaly,1997,2012,increase in demand,new plant opened fueled by natural gas in 1997,,,,,,,
ESP,,biofuelsandwaste,data availability,2001,2012,,year >= 2001: data available,,,,1,,,
ESP,supply,coal,real anomaly,2008,2012,decrease in supply,lignite mining ceased in 2008,,,,,,,
EST,,allbutbiofuels,real anomaly,1990,2012,data for estonia available after 1990,"before 1990, data for estonia is included in former soviet",,,,1,1,,
ETH,,,real anomaly,1971,1991,ERI included until 1992,,,,,,1,,
ETH,,,,1971,2012,data reported on the fiscal year,,,,,,,1,
ETH,,biofuelsandwaste,extrapolation,1971,2012,estimated data,1/2 estimated,,,,,,,
ETH,,solarandgeothermal,real anomaly,2010,2010,,time series break in 2010 (plant out of commission),,,,,,,
ETH,,,data source change,2012,2012,,differing source 2012 to 2015,,,,,,,
FIN,,coal,real anomaly,1994,1994,production ceased,production of gas works gas ceased in April 1994,,,,,,,
FIN,,oil,methodology change,1995,2012,,Break in timeseries 1995. Aligning of the National Board of Customs trade data collection system with the European Unionâs Intrastat system,,,,,,,
FIN,,oil,methodology change,1971,1988,time series break,"due to a new calculation model, there is a break in fuel oil other consumption between 1998 and 1999 ",,,,,,,
FIN,,oil,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,biofuelsandwaste,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,heat,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,solarandgeothermal,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,coal,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,naturalgas,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,electricity,methodology change,1971,1999,time series break,new survey system and data classification leads to breaks in time series,,,,,,,
FIN,,oil,methodology change,1999,2012,,Break in timeseries 1998-1999. Only in other consumption,,,,,,,
