country,sector,subsector,fuel,product,subfuel,issue_code,year_start,year_end,issue,description,flag_drop,tot_drop,fuel_keep,grey,ra,notes,ra_historic,issue_historic,description_historic,oecd,no_match,geo_change,fiscal_year,ex_ex
TUR,Fishing,,oil,gas/diesel,,data availability,1971,2013,data availability,"From 2014, information on gas/diesel consumption in fishing is available.",,,,9,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
CHE,,,oil,,,climate data,1971,2012,inconsistent geography,other energy is made up of a lot of fuels so a different geographic region for oil causes issues for constructing climate data,,,,9,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
MMR,,,,,,climate data,1971,2012,fiscal years,can't construct climate data because unclear what a fiscal year means,,,,9,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
DNK,,,oil,,,climate data,1971,1989,inconsistent geography,other energy is made up of a lot of fuels so a different geographic region for oil causes issues for constructing climate data,,,,9,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
TZA,,,oil,,,climate data,1971,2012,inconsisten geography,other energy is made up of a lot of fuels so a different year for oil causes issues for constructing climate data,,,,9,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
GRL,,,oil,,,climate data,1971,1989,inconsistent geography,other energy is made up of a lot of fuels so a different geographic region for oil causes issues for constructing climate data,,,,9,MN,"additional issues for break 2 -- all issues related to non-specified,ag/forestry, and fishing",,,,,2,,,
ALB,,,,,,,2011,2012,change in reporting,no estimates -- differing source 2011-2015,,,,,MN,,,,,0,0,,,
ALB,residential,,,,,combined fuels,2011,2012,change in reporting,motor gasoline consumption reported in residential sector,1,1,0,0,MN,,,,,0,0,,,
ARE,,,allbutbiofuels,,,data source change,1971,1992,,,,,,,,,Yuqi,data source,differing source <=1992,0,0,,,
ARE,,,allbutbiofuels,,,extrapolation,1993,2012,,,,,,,,,Yuqi,data source,"differing source 1993 to 2015, including IEA estimates",0,0,,,0
ARE,,,,,,ex-post revision,2007,2012,time series break,revised data on electricity imports and exports,,,,0,SG,,,,,0,2,,,
ARE,,,oil,other_energy,,ex-post revision,2009,2012,time series break,data revision,,,,0,SG,,,,,0,2,,,
ARE,,,naturalgas,other_energy,,ex-post revision,2011,2012,time series break,data revision,,,,0,SG,,,,,0,2,,,
ARM,,,biofuelsandwaste,other_energy,,extrapolation,1971,2012,only source estimated data,,,,,,MN,,,,,0,2,,,
ARM,,,,,,extrapolation,1990,1991,only source estimated data,,,,,,MN,,,,,0,2,,,1
ARM,,,,,,data availability,1990,2012,data availability begins in 1990,prior to 1990 data included in Former Soviet Union,,,,1,MN,,,,,0,2,,,
ARM,,,,,,extrapolation,1992,2012,1/3 sources estimated,1992-2013,,,,,MN,,,,,0,2,,,
AUS,,,biofuelsandwaste,other_energy,,data availability,1971,2003,missing data,data for biogasoline not available before 2003,,,,9,LA,,,,,1,2,,,
AUS,,,biofuelsandwaste,other_energy,,data availability,1971,2004,missing data,data for biodiesel not available before 2004,,,,9,LA,,,,,1,2,,,
AUS,industrial,,electricity,electricity,,combined sectors,1971,2005,reporting change,"before 2006, electricity consumption in mining and quarrying includes liquefaction/regasification of plants",1,1,1,,LA,,,,,1,2,,,
AUS,residential,,solarandgeothermal,other_energy,,data availability,1974,2012,data available,direct use of solar heat is available from 1974,,,,1,LA,,,,,1,2,,,
AUS,,,heat,other_energy,,data availability,1992,2012,missing data,"from 1992, heat data is not available.",,,,9,LA,,,,,1,2,,,
AUS,,,naturalgas,other_energy,,extrapolation,1999,2000,estimated data,End-use consumption are estimated by the Australian administration,,,,,LA,match,,,,1,0,,,1
AUS,,,naturalgas,other_energy,,methodology change,1971,2001,time series break,break in consumption time series between 2001 and 2002 due to changes in methodology,,,,,LA,,,,,1,0,,,
AUS,industrial,,naturalgas,other_energy,,methodology change,2002,2012,,,,,,,,,AH,Reporting change,Break in timeseries from 2001-2002. Industry structural shift and changes in methodology,1,0,,,
AUS,,,coal,other_energy,,ex-post revision,2003,2011,,,,,,0,,,AH,Reporting change,2003-2011. Net increase in quantity of primary coal due to reclassification,1,1,,,
AUS,,,,,,data source change,2003,2012,,,,,,,,,AH,Reporting change,Break in timeseries from 2002-2003. Adoption of NGER as energy consumption data source,1,1,,,
AUS,,,coal,other_energy,,data source change,1971,2008,time series break,change of survey caused time series break between 2008 and 2009,,,,,LA,,,,,1,2,,,
AUS,,,oil,other_energy,,ex-post revision,1971,2009,time series break,revision of oil supply/demand results in time series break between 2009-2010,,,,0,LA,,,,,1,2,,,
AUS,,,biofuelsandwaste,other_energy,,ex-post revision,1971,2009,time series break,time series break between 2009 and 2010 for solid biofuels consumption. data revised back to 2010,,,,0,LA,,,,,1,2,,,
AUS,,,naturalgas,other_energy,,ex-post revision,1971,2009,time series break,"demand data revised back to 2010, resulting in time series break between 2009 and 2010",,,,0,LA,,,,,1,2,,,
AUS,,,coal,other_energy,,ex-post revision,1971,2009,time series break,revisions until 2010 results in break in time series between 2009 and 2010,,,,0,LA,,,,,1,2,,,
AUS,,,naturalgas,other_energy,,methodology change,1971,2009,time series break,2009-2010: breaks may happen due to changes in methodologies,,,,0,LA,,,,,1,2,,,
AUS,industrial,,coal,other_energy,,ex-post revision,2010,2012,reporting change,>=2010: increases in quantities of subbituminous coal,,,,0,LA,,,,,1,2,,,
AUS,,,electricity,electricity,,ex-post revision,2010,2012,,,,,,0,,,AH,Reporting change,Break in timeseries from 2009-2010. Revision by the Aus administration,1,1,,,
AUS,industrial,,coal,other_energy,,ex-post revision,2010,2012,reporting change,>=2010: decreases in quantities of other bituminous coal,,,,0,LA,,,,,1,0,,,
AUT,commercial,,electricity,electricity,,combined sectors,1971,1990,reporting change,"before 1990, consumption of electricity in supply, district heating and water supply was included in commercial/public services",1,1,0,,LA,,,,,1,2,,,
AUT,,,electricity,electricity,,combined sectors,1971,1990,reporting change,"before 1991, electricity consumption in iron and steel industry includes consumption in coke ovens and blast furnaces",1,1,0,,LA,,,,,1,2,,,
AUT,,,biofuelsandwaste,other_energy,,extrapolation,1986,1989,,,,,,,,,AH,,Year 1986-1989,1,0,,,0
AUT,,,biofuelsandwaste,other_energy,,extrapolation,1986,1989,,,,,,,,,AH,,Year 1986-1989,1,0,,,0
AUT,,,biofuelsandwaste,other_energy,,extrapolation,1986,1989,,,,,,,,,AH,,Year 1986-1989,1,0,,,0
AUT,,,biofuelsandwaste,other_energy,,extrapolation,1986,1989,,,,,,,,,AH,,Year 1986-1989,1,0,,,0
AUT,residential,,electricity,electricity,,combined sectors,1990,2009,reporting change,"from 1990 to 2009, small amounts of electricity used in heat pumps have been included in the residential sector",1,1,0,,LA,,,,,1,2,,,
AUT,,,,,,methodology change,1990,2012,,,,,,,,,AH,Reporting change,Breaks in timeseries for 1989-1990. Enhanced reporting as a consequence of Austrian Energy Efficiency Act,1,1,,,
AUT,,,coal,other_energy,,real anomaly,2004,2004,anomaly,lignite mine closed in second quarter of 2004,,,,,LA,,,,,1,2,,,
AUT,,,naturalgas,other_energy,,ex-post revision,2005,2012,,,,,,0,,,AH,Reporting change,Year>=2005. Revision by administration,1,1,,,
AUT,industrial,,coal,other_energy,,ex-post revision,2005,2012,,,,,,0,,,AH,Reporting change,Year>=2005. Revisions concerning iron and steel industry,1,1,,,
AUT,industrial,,coal,other_energy,,ex-post revision,2005,2012,,,,,,0,,,AH,Reporting change,Year>=2005. Revisions concerning iron and steel industry,1,1,,,
AUT,,,,,,methodology change,2005,2012,,,,,,,,,AH,Reporting change,Breaks in timeseries for 2004-2005. Enhanced reporting as a consequence of Austrian Energy Efficiency Act,1,1,,,
AZE,,,biofuelsandwaste,other_energy,,extrapolation,1971,1999,estimated data,,,,,,MN,,,,,0,0,,,1
AZE,,,oil,other_energy,,extrapolation,1990,2006,,,,,,,,,Trin,IEA estimated data,1990-2006 (based on total aviation consumption reported by AZE and its 2007 allocation),0,1,,,1
AZE,,,,,,data availability,1990,2012,prior to 1990 data included in the former soviet union,,,,,1,MN,,,,,0,2,1,,
BEL,,,biofuelsandwaste,other_energy,,data availability,1971,2009,data not available,data on biofuels are not available before 2009,,,,9,LA,should be for biodiesels and biogasoline as the relevant sub fuels,,,,1,2,,,
BEL,supply,,electricity,electricity,,data availability,1987,2012,data available,production of electricity from wind is available from 1987,,,,,LA,,,,,1,2,,,
BEL,,,heat,other_energy,,ex-post revision,1971,1991,time series break,breaks in time series between 1991 and 1992 for heat consumption in chemical and non specified industry,,,,0,LA,,,,,1,2,,,
BEL,,,oil,other_energy,,real anomaly,1993,2012,decrease in industry consumption,decrease of fuel oil is due to introduction of an excise tax as well as increase use of natural gas,,,,,LA,,,,,1,0,,,
BEL,,,naturalgas,other_energy,,methodology change,1995,2012,reporting change,the Belgian administration re- vised consumption in the energy sector and the chemical industry since 1995,,,,,LA,,,,,1,0,,,
BEL,industrial,,coal,other_energy,,real anomaly,1996,2012,,,,,,,,,AH,,Year =1996. Usage stopped in chemical and petro-chemical activities,1,1,,,
BEL,,,coal,other_energy,,real anomaly,2002,2002,decrease in consumption,decrease of other bitumious coal and coke oven coke in iron and steel industry in 2002 is due to closure of several plants,,,,,LA,,,,,1,2,,,
BEL,,,electricity,electricity,,ex-post revision,1971,2007,time series break,breaks in time series between 2007 and 2008 due to revisions of NACE classifications,,,,0,LA,,,,,1,0,,,
BEL,industrial,,heat,other_energy,,real anomaly,2007,2012,,,,,,,,,AH,,Year>=2007. No heat consumption in iron and steel industry,1,1,,,
BEL,,,heat,other_energy,,ex-post revision,2008,2012,,,,,,0,,,AH,Reporting change,Breaks in timeseries for 2007-2008. Revisions of NACE classifications,1,0,,,
BEL,,,biofuelsandwaste,other_energy,,data availability,2009,2012,data available,data for biodiesels and biogasoline are available starting in 2009,,,,1,LA,,,,,1,2,,,
BEL,,,oil,other_energy,,methodology change,2009,2012,,,,,,,,,AH,Reporting change,Year >=2009. Administration reviewed and improved methodology for reporting,1,1,,,
BEL,industrial,,naturalgas,other_energy,,ex-post revision,2010,2012,,,,,,0,,,AH,Reporting change,"Year >=2010. Administration revised consumption in transport, industry and other sectors",1,1,,,
BEL,,,biofuelsandwaste,other_energy,,data availability,2012,2012,,,,,,0,,,AH,,Breaks in timeseries for 2011-2012. New data on consumption,1,1,,,
BEL,,,electricity,electricity,,extrapolation,2012,2012,estimated data,"for 2012, electricity consumption in the mining and quarrying sector has been estimated by the IEA Secretariat",,,,,LA,,,,,1,0,,,1
BEN,,,biofuelsandwaste,other_energy,,data source change,1971,1995,,,,,,,,,Trin,data source,differing source <= 1995,0,1,,,
BEN,,,biofuelsandwaste,other_energy,,extrapolation,1971,1995,,,,,,,,,Trin,IEA estimated data,<=1995 (based on 1991 data),0,1,,,1
BEN,,,,,,extrapolation,1971,1998,estimated data,1/5 estimated,,,,,MN,,,,,0,2,,,
BEN,,,,,,ex-post revision,1971,2010,time series break,between 2010 and 2011,,,,0,MN,,,,,0,2,,,
BEN,,,,,,extrapolation,1999,2012,estimated data,1/3 estimated,,,,,MN,,,,,0,2,,,
BEN,,,,,,ex-post revision,2011,2012,,,,,,0,,,Trin,reporting change,time series break between 2010 and 2011,0,1,,,
BGD,,,oil,other_energy,,ex-post revision,1971,2004,time series break,time series break between 2004 and 2005,,,,0,MN,,,,,0,2,,,
BGD,,,electricity,electricity,,ex-post revision,1971,2007,time series break,time series break between 2007 and 2008,,,,0,MN,,,,,0,2,,,
BGD,,,,,,,1971,2012,data reported on a fiscal year basis,,,,,,MN,potentially could drop this - as it is constant across the whole time period so would not constitute a break in regimes,,,,0,2,,1,
BGD,,,,,,extrapolation,1996,2007,estimated data,1/3 estimated,,,,,MN,,,,,0,0,,,
BGD,,,,,,extrapolation,2008,2012,estimated data,1/9 estimated,,,,,MN,,,,,0,0,,,
BHR,industrial,,oil,other_energy,,extrapolation,2000,2012,time series break,petroleum coke in the manufacture of aluminium ahve been made to track this consumption from 2000 onwards,,,,,MN,,,,,0,0,,,
BIH,,,electricity,electricity,,,1971,2007,time series break,break between 2007 and 2008,,,,,MN,,,,,0,0,,,
BIH,,,heat,other_energy,,,1971,2007,time series break,break between 2007 and 2008,,,,,MN,,,,,0,0,,,
BIH,,,,,,,1971,2008,time series break,break between 2008 and 2009,,,,,MN,,,,,0,2,,,
BIH,,,,,,data availability,1990,2012,prior to 1990 data included in the former soviet union,,,,,1,MN,,,,,0,2,1,,
BIH,,,,,,extrapolation,2006,2008,estimated data,1/3 estimated,,,,,MN,,,,,0,0,,,
BIH,,,coal,other_energy,,data availability,2009,2012,,,,,,0,,,Trin,reporting change,time series break between 2008 and 2009,0,1,,,
BIH,,,naturalgas,other_energy,,data availability,2009,2012,,,,,,0,,,Trin,reporting change,time series break between 2008 and 2009,0,1,,,
BIH,,,,,,extrapolation,2009,2012,estimated data,1/5 estimated,,,,,MN,,,,,0,0,,,
BLR,,,,,,data availability,1990,2012,prior to 1990 data included in the former soviet union,,,,,1,MN,,,,,0,2,1,,
BLR,,,,,,data source change,1990,2012,change in reporting,0/2 estimated -- differing sources 1990-2015,,,,,MN,,,,,0,2,,,
BLR,supply,,oil,other_energy,,real anomaly,2010,2012,decrease in supply,customs fee,,,,,MN,,,,,0,0,,,
BOL,,,biofuelsandwaste,other_energy,,methodology change,1971,2009,time series break,time series break between 2009 and 2010,,,,,MN,,,,,0,0,,,
BRA,,,coal,other_energy,,extrapolation,1971,1999,estimated data,,,,,,MN,,,,,0,0,,,1
BRA,,,biofuelsandwaste,other_energy,,extrapolation,1971,1999,,,,,,,,,Trin,IEA estimated data,1971-1999,0,0,,,
BRA,industrial,,biofuelsandwaste,other_energy,,combined sectors,1971,2012,transformation and final consumption combined,,1,1,0,,MN,,,,,0,2,,,
BRN,,,,,,data source change,1992,2005,change in reporting,,,,,,MN,,,,,0,0,,,
BWA,,,,,,data availability,1981,2012,included in Other Africa prior to 1981,,,,,1,MN,,,,,0,2,1,,
BWA,,,,,,data source change,1981,2012,change in reporting,1/9 estimated -- differing sources 1981-2015,,,,,MN,,,,,0,2,,,
CAN,industrial,,naturalgas,other_energy,,combined sectors,1971,1977,combined subsectors,"before 1978, consumption in non-specified industry includes gas used as fuel in oil refineries",1,1,0,,LA,,,,,1,2,,,
CAN,industrial,,naturalgas,other_energy,,data availability,1971,1989,data not available,before 1990 data for consumption of natural gas for construction is not available,,,,9,LA,,,,,1,2,,,
CAN,industrial,,electricity,electricity,,ex-post revision,1971,1987,time series break,break in time series between 1987 and 1988 for industry,,,,0,LA,,,,,1,2,,,
CAN,,,biofuelsandwaste,other_energy,,extrapolation,1990,2004,estimated data,"IEA estimated data for biogases, industrial and municipal waste from 1990 - 2004 base on info supplied by Natural Resources Canada",,,,,LA,,,,,1,0,,,1
CAN,,,,,,methodology change,1990,2012,,,,,,,,,AH,Reporting change,Breaks in time series 1989-1990. Changes in methodology,1,1,,,
CAN,,,naturalgas,other_energy,,ex-post revision,1971,2004,time series break,revisions back to 2005 created a time series break between 2004 and 2005,,,,0,LA,,,,,1,2,,,
CAN,,,coal,other_energy,,ex-post revision,2004,2011,,,,,,0,,,AH,Reporting change,Year 2004-2011. Revisions to timeseries,1,1,,,
CAN,,,coal,other_energy,,data availability,2005,2012,data available,improvements in data collection gave way to more data available between 2005 to 2015,,,,0,LA,,,,,1,0,,,
CAN,,,electricity,electricity,,ex-post revision,2005,2012,possible breaks in time series,revisions back to 2005 on inputs and outputs of power plants as well as breakdown of final electricity consumption,,,,0,LA,,,,,1,2,,,
CAN,,,,,,ex-post revision,2005,2012,,,,,,0,,,AH,Reporting change,Year >=2005. Revision of timeseries,1,1,,,
CAN,,,naturalgas,other_energy,,ex-post revision,2005,2012,,,,,,0,,,AH,Reporting change,Breaks in time series 2004-2005,1,1,,,
CAN,industrial,,naturalgas,other_energy,,extrapolation,2011,2012,,,,,,,,,AH,Reporting change,Year 2011-2014. Administration estimated consumption data for refined petroleum products,1,1,,,1
CAN,industrial,,naturalgas,other_energy,,extrapolation,2011,2012,,,,,,,,,AH,Reporting change,"Year 2011-2014. Administration estimated consumption data for iron, steel, aluminum, non-ferrous metal manufacturing",1,1,,,1
CAN,commercial,,electricity,electricity,,methodology change,2011,2012,time series break,revision of electricity consumption for 2012 according to a new methodology causes a break in times series between 2011 and 2012,,,,,LA,,,,,1,2,,,
CAN,industrial,,heat,other_energy,,data availability,2012,2012,data unavailable,"starting from 2012, heat consumption became confidential",,,,9,LA,,,,,1,2,,,
CAN,commercial,,electricity,electricity,,methodology change,2012,2012,,,,,,,,,AH,Reporting change,Break in timeseries 2011-2012. Revision of consumption for commercial and public services,1,1,,,
CAN,industrial,,naturalgas,other_energy,,real anomaly,2012,2012,increase in consumption,increase in consumption by non-metallic mineral production is due to switching from coal to natural gas,,,,,LA,,,,,1,0,,,
CHE,,,heat,other_energy,,data availability,1971,2012,direct use is overstated,no time specification,,,,0,MN,,,,,1,2,,,
CHE,,,naturalgas,other_energy,,methodology change,1978,2012,,,,,,,,,GD,Reporting change,level differences for year <= 1977,1,1,,,
CHE,,,naturalgas,other_energy,,methodology change,1978,2012,,,,,,,,,GD,reporting change,year >= 1978: new survey,1,1,,,
CHE,,,heat,other_energy,,data availability,1990,2012,newly available data,from 1990,,,,1,MN,,,,,1,0,,,
CHE,,,heat,other_energy,,data availability,1990,2012,newly available data,from 1990,,,,1,MN,,,,,1,0,,,
CHE,,,oil,other_energy,,real anomaly,1994,2012,increase in consumption,"in 1994, the increase in consumption is due to consumer stock-building prior to the intro of a value-added excise tax on heating fuels as of 1 Jan 1995",,,,,MN,,,,,1,2,,,
CHE,,,,,,methodology change,1999,2012,,,,,,,,,GD,reporting change,"year >= 1999: new survey, not comparable with previous data",1,1,,,
CHE,,,biofuelsandwaste,other_energy,,real anomaly,2006,2012,decrease in demand,in 2006,,,,,MN,,,,,1,2,,,
CHE,,,naturalgas,other_energy,,real anomaly,2007,2007,decrease in demand,reduced operation of one plant after the start up of a new waste incineration plant and the shutting down of another plant. Use increases again in 2008 due to the re-starting of a district heating plant,,,,,MN,,,,,1,2,,,
CHE,,,biofuelsandwaste,other_energy,,real anomaly,2007,2012,increase in demand,in 2007,,,,,MN,,,,,1,2,,,
CHL,,,biofuelsandwaste,other_energy,,extrapolation,1971,2012,,,,,,,,,AH,,Year <=2013. Charcoal consumption,1,1,,,1
CHL,,,oil,other_energy,,methodology change,2009,2012,,,,,,,,,AH,Reporting change,Break in timeseries 2008-2009. By administration,1,0,,,
CHN,,,,,,data source change,1971,1990,change in reporting,,,,,,MN,,,,,0,0,,,
CHN,,,biofuelsandwaste,other_energy,,extrapolation,1971,2012,estimated data,1/1 estimated,,,,,MN,,,,,0,2,,,1
CHN,,,biofuelsandwaste,other_energy,,extrapolation,1997,2012,,,,,,0,,,Trin,IEA estimated data,>=1997,0,1,,,1
CHN,,,,,,ex-post revision,2000,2010,,,,,,0,,,Trin,reporting change,time series break between 1999 and 2000,0,1,,,
CIV,,,,,,extrapolation,2002,2004,estimated data,1/1 estimated,,,,,MN,,,,,0,2,,,1
CIV,,,,,,extrapolation,2005,2008,estimated data,1/3 estimated,,,,,MN,,,,,0,2,,,
CIV,,,,,,extrapolation,2009,2012,estimated data,1/2 estimated,,,,,MN,,,,,0,2,,,
CMR,,,electricity,electricity,,ex-post revision,2012,2012,,,,,,0,,,Trin,reporting change,time series break between 2011 and 2012,0,1,,,
COG,,,biofuelsandwaste,other_energy,,,1971,2012,estimated data,1/2 estimated,,,,,MN,,,,,0,0,,,
COG,,,,,,ex-post revision,2000,2012,,,,,,0,,,Trin,reporting change,time series break between 1999 and 2000,0,1,,,
CRI,,,,,,,1971,2012,estimated data,1/3 estimated,,,,,MN,,,,,0,0,,,
CUB,,,,,,real anomaly,1992,2012,,,,,,,,,Trin,reporting change,Breaks in time series in early 90s are assumed due to codification of embargo imposed on Cuba in 1992,0,1,,,
CUW,,,oil,other_energy,,real anomaly,2010,2012,time series break,Isla refinery did not operate at its maximum cpacity in 2010,,,,,MN,,,,,0,0,,,
CUW,,,,,,real anomaly,2012,2012,change in geographic region,"From 2012 onwards, data now account for the energy statistics of CUracao Island only",,,,,MN,,,,,0,0,1,,
CYP,,,biofuelsandwaste,other_energy,,ex-post revision,1971,2008,time series break,between 2008 and 2009,,,,0,MN,,,,,0,0,,,
CYP,,,,,,data source change,1993,2012,change in reporting,,,,,,MN,,,,,0,0,,,
CZE,,,oil,other_energy,,extrapolation,1971,1994,estimated data,"before 1994, data are estimated by IEA",,,,,LA,,,,,1,0,,,1
CZE,industrial,,coal,other_energy,,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,1,,apply only to Residential other energy,AH,,Year 1990-2011. Only residential consumption,1,0,,,
CZE,industrial,,coal,other_energy,,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,,,,AH,,Year 1990-2011. Only residential consumption,1,0,,,
CZE,industrial,,coal,other_energy,,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,,,,AH,,Year 1990-2011. Only residential consumption,1,0,,,
CZE,commercial,,coal,other_energy,,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,,,,AH,,Year 1990-2011. Only residential consumption,1,0,,,
CZE,commercial,,coal,other_energy,,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,,,,AH,,Year 1990-2011. Only residential consumption,1,0,,,
CZE,commercial,,coal,other_energy,,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,,,,AH,,Year 1990-2011. Only residential consumption,1,0,,,
CZE,industrial,,coal,other_energy,,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,,,,AH,,Year 1990-2011. Only residential consumption,1,0,,,
CZE,commercial,,coal,other_energy,,data availability,1990,2011,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,,,,AH,,Year 1990-2011. Only residential consumption,1,0,,,
CZE,,,biofuelsandwaste,other_energy,,data availability,1990,2012,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,,,,AH,,Year<1990. Data unavailable,1,1,,,
CZE,,,biofuelsandwaste,other_energy,,data availability,1990,2012,,"In the 2014 edition, residential consumption for the period 1990 through 2011 was revised for other bituminous coal, lignite, coke oven coke and BKB, as more accurate consumption data became available.",,,,,,,AH,,Year<1990. Data unavailable,1,1,,,
CZE,residential,,biofuelsandwaste,other_energy,,methodology change,1990,2012,,,,,,,,,AH,Reporting change,Year >=1990. Consumption in residential sector revised upwards,1,1,,,
CZE,,,electricity,electricity,,methodology change,1990,2012,,,,,,,,,AH,,Breaks in timeseries 1989-1990. Data submitted by Czech adminstration,1,1,,,
CZE,commercial,,coal,other_energy,,real anomaly,1990,2012,time series break,"due to economic restructuring in consumption in the late 1990s, there may be breaks in time series ",,,,,LA,,,,,1,2,,,
CZE,,,biofuelsandwaste,other_energy,,data availability,1992,2012,,,,,,1,,,AH,,Year<1992. Data unavailable,1,1,,,
CZE,,,naturalgas,other_energy,,methodology change,1994,2012,,,,,,,,,AH,Reporting change,Year 1993-1994. Change in energy balance methodology,1,1,,,
CZE,,,oil,other_energy,,methodology change,1971,1998,time series break,new data management system led to breaks in consumption time series between 1998 and 1999,,,,,LA,,,,,1,2,,,
CZE,,,naturalgas,other_energy,,real anomaly,1971,1998,time series break,restructuring of Czech electricity market leads to breaks in tim series in all sector between 1998 and 1999,,,,,LA,,,,,1,2,,,
CZE,,,biofuelsandwaste,other_energy,,methodology change,1999,2001,,,,,,,,,AH,Reporting change,Breaks in timeseries 1999. New survey system,1,0,,,
CZE,,,oil,other_energy,,data availability,1999,2012,,,,,,0,,,AH,,Year 1998-1999. New data management system implemented by the administration.,1,1,,,
CZE,,,biofuelsandwaste,other_energy,,real anomaly,1999,2012,,,,,,,,,AH,Reporting change,Breaks in timeseries 1998-1999. Restructuring of Czech electricity markets,1,1,,,
CZE,,,coal,other_energy,,ex-post revision,1971,2001,time series break,revisions by the Czech administration have resulted in some breaks in time series betwen 2001 and 2002,,,,0,LA,,,,,1,2,,,
CZE,,,biofuelsandwaste,other_energy,,methodology change,2002,2002,,,,,,,,,AH,Reporting change,Breaks in timeseries 2002. New survey system,1,0,,,
CZE,supply,,biofuelsandwaste,other_energy,,ex-post revision,1971,2002,time series break,breaks in supply of biofuels and waste occur in 2003,,,,,LA,,,,,1,2,,,
CZE,,,electricity,electricity,,data availability,2003,2012,,,,,,1,,,AH,,Year >=2003 data only available,1,0,,,
