,filtered_tau,ipt_ttmax500,ipt_ttmax100,ipt_dT_lt_0
679,True,False,False,True
680,True,True,True,True
681,True,True,True,True
682,True,True,True,True
683,True,False,True,True
684,True,True,True,True
685,True,True,True,True
686,True,True,True,True
687,True,True,True,True
688,True,True,True,True
689,True,False,True,True
690,True,False,False,True
691,True,True,True,True
692,True,False,True,True
693,True,False,False,True
694,True,True,True,True
695,True,True,True,True
696,True,True,True,True
697,True,True,True,True
698,True,True,True,True
699,True,True,True,True
700,True,False,True,True
701,True,True,True,True
702,True,False,False,True
703,True,False,True,True
704,True,False,False,True
705,True,True,True,True
706,True,True,True,True
707,True,True,True,True
708,True,False,True,True
709,False,False,False,False
710,True,True,True,True
711,False,False,False,False
712,True,True,True,True
713,True,False,True,True
714,True,True,True,True
715,True,True,True,True
716,True,False,False,True
717,True,True,True,True
718,True,True,True,True
719,True,True,True,True
720,True,True,True,True
721,True,False,True,True
722,True,True,True,True
723,True,True,True,True
724,True,True,True,True
725,True,True,True,True
726,True,True,True,True
727,True,False,True,True
728,True,True,True,True
729,True,True,True,True
730,True,True,True,True
731,True,True,True,True
732,True,False,False,True
733,True,True,True,True
734,True,False,True,True
735,True,True,True,True
736,True,True,True,True
737,True,False,False,True
738,True,False,True,True
739,True,False,True,True
740,True,False,False,True
741,True,True,True,True
742,True,False,True,True
743,False,False,False,False
744,True,True,True,True
745,True,True,True,True
746,True,False,True,True
747,True,True,True,True
748,True,True,True,True
749,True,True,True,True
750,True,True,True,True
751,True,False,False,True
752,True,False,True,True
753,True,True,True,True
754,True,False,False,True
755,True,True,True,True
756,True,True,True,True
757,True,True,True,True
758,True,True,True,True
759,True,False,True,True
760,True,True,True,True
761,True,True,True,True
762,True,False,True,True
763,False,False,False,False
764,True,True,True,True
765,True,False,True,True
766,True,True,True,True
767,True,True,True,True
768,True,True,True,True
769,True,False,False,True
770,True,True,True,True
771,True,False,True,True
772,True,True,True,True
773,True,True,True,True
774,True,True,True,True
775,True,True,True,True
776,True,True,True,True
777,True,True,True,True
778,True,True,True,True
779,True,False,True,True
780,True,False,True,True
781,True,False,False,True
782,True,False,True,True
783,True,True,True,True
784,True,False,False,True
785,True,True,True,True
786,True,False,False,False
787,True,True,True,True
788,True,True,True,True
789,True,True,True,True
790,True,False,True,True
791,True,True,True,True
792,True,True,True,True
793,True,False,True,True
794,True,True,True,True
795,True,False,False,True
796,True,True,True,True
797,True,False,True,True
798,True,True,True,True
799,True,True,True,True
800,True,True,True,True
801,True,False,False,True
802,True,True,True,True
803,True,False,True,True
804,True,True,True,True
805,False,False,False,False
806,True,True,True,True
807,True,False,False,True
808,True,False,False,True
809,True,True,True,True
810,True,True,True,True
811,True,False,True,True
812,True,True,True,True
813,True,True,True,True
814,True,False,False,True
815,True,False,False,True
816,True,True,True,True
817,True,True,True,True
818,True,False,False,True
819,True,True,True,True
820,True,True,True,True
821,True,False,True,True
822,True,True,True,True
823,True,False,True,True
824,True,False,True,True
825,True,False,True,True
826,True,True,True,True
827,True,True,True,True
828,True,False,False,True
829,True,True,True,True
830,True,True,True,True
831,True,True,True,True
832,True,False,True,True
833,True,False,True,True
834,True,True,True,True
835,True,True,True,True
836,True,False,True,True
837,True,True,True,True
838,True,False,False,True
839,True,True,True,True
840,True,True,True,True
841,True,False,True,True
842,True,True,True,True
843,True,False,False,True
844,True,False,False,True
845,True,True,True,True
846,False,False,False,False
847,True,True,True,True
848,True,False,True,True
849,True,True,True,True
850,True,True,True,True
851,True,False,True,True
852,True,True,True,True
853,True,True,True,True
854,True,True,True,True
855,True,True,True,True
856,True,True,True,True
857,True,False,True,True
858,True,True,True,True
859,True,True,True,True
860,True,True,True,True
861,True,False,True,True
862,False,False,False,False
863,True,False,True,True
864,True,True,True,True
865,True,False,True,True
866,True,True,True,True
867,True,True,True,True
868,True,True,True,True
869,True,False,False,True
870,True,True,True,True
871,True,True,True,True
872,True,False,True,True
873,True,False,True,True
874,True,True,True,True
875,True,True,True,True
876,True,False,False,True
877,True,True,True,True
878,True,False,False,True
879,True,True,True,True
880,True,True,True,True
881,True,False,True,True
882,True,False,True,True
883,True,True,True,True
884,True,True,True,True
885,True,False,True,True
886,True,True,True,True
887,True,True,True,True
888,True,True,True,True
889,True,True,True,True
890,True,True,True,True
891,True,True,True,True
892,True,False,False,True
893,True,True,True,True
894,True,False,True,True
895,True,True,True,True
896,True,False,True,True
897,True,True,True,True
898,True,False,False,True
899,True,True,True,True
900,True,True,True,True
901,True,True,True,True
902,True,True,True,True
903,True,False,True,True
904,True,True,True,True
905,True,False,True,True
906,True,True,True,True
907,True,False,True,True
908,True,True,True,True
909,True,False,True,True
910,True,False,False,True
911,True,True,True,True
912,True,True,True,True
913,True,False,True,True
914,True,False,True,True
915,True,True,True,True
916,True,False,False,True
917,True,True,True,True
918,True,True,True,True
919,True,False,True,True
920,True,True,True,True
921,True,False,True,True
922,True,True,True,True
923,True,False,True,True
924,True,True,True,True
925,True,True,True,True
926,True,True,True,True
927,True,False,True,True
928,False,False,False,False
929,True,True,True,True
930,True,True,True,True
931,False,False,False,False
932,True,True,True,True
933,True,False,True,True
934,True,False,False,True
935,True,True,True,True
936,True,True,True,True
937,True,True,True,True
938,True,True,True,True
939,True,False,False,True
940,True,True,True,True
941,True,True,True,True
942,True,True,True,True
943,True,False,True,True
944,True,False,True,True
945,True,True,True,True
946,True,True,True,True
947,True,False,False,True
948,True,False,True,True
949,True,False,True,True
950,True,False,True,True
951,True,False,False,True
952,True,False,True,True
953,True,True,True,True
954,True,True,True,True
955,True,True,True,True
956,True,False,True,True
957,True,False,True,True
958,True,True,True,True
959,True,True,True,True
960,True,True,True,True
961,True,False,False,True
962,True,False,True,True
963,True,True,True,True
964,True,False,True,True
965,True,True,True,True
966,True,False,False,True
967,True,True,True,True
968,True,False,True,True
969,True,False,False,True
970,True,False,True,True
971,True,True,True,True
972,True,False,True,True
973,True,False,True,True
974,True,False,True,True
975,True,True,True,True
976,True,False,True,True
977,True,False,True,True
978,True,True,True,True
979,True,True,True,True
980,True,True,True,True
981,True,True,True,True
982,True,True,True,True
983,True,True,True,True
984,True,True,True,True
985,True,False,False,True
986,True,True,True,True
987,True,True,True,True
988,True,True,True,True
989,True,True,True,True
990,True,True,True,True
991,True,True,True,True
992,True,False,True,True
993,True,True,True,True
994,True,True,True,True
995,True,True,True,True
996,True,False,True,True
997,True,False,True,True
998,True,False,True,True
999,True,True,True,True
1000,True,True,True,True
1001,True,True,True,True
1002,True,True,True,True
1003,True,True,True,True
1004,True,True,True,True
1005,True,True,True,True
1006,True,True,True,True
1007,True,False,False,True
1008,True,True,True,True
1009,True,False,False,True
1010,True,True,True,True
1011,True,True,True,True
1012,True,False,True,True
1013,True,False,False,True
1014,True,True,True,True
1015,True,True,True,True
1016,True,True,True,True
1017,True,True,True,True
1018,True,True,True,True
1019,True,True,True,True
1020,True,True,True,True
1021,True,True,True,True
1022,True,True,True,True
1023,False,False,False,False
1024,True,True,True,True
1025,True,True,True,True
1026,True,True,True,True
1027,True,False,True,True
1028,True,True,True,True
1029,True,False,True,True
1030,True,True,True,True
1031,True,True,True,True
1032,True,True,True,True
1033,True,False,True,True
1034,True,True,True,True
1035,True,False,False,True
1036,True,True,True,True
1037,True,False,False,True
1038,True,True,True,True
1039,True,False,True,True
1040,True,False,False,True
1041,True,False,True,True
1042,True,True,True,True
1043,True,True,True,True
1044,True,False,False,True
1045,True,False,True,True
1046,True,True,True,True
1047,True,True,True,True
1048,True,False,False,True
1049,True,False,True,True
1050,True,True,True,True
1051,True,False,True,True
1052,True,True,True,True
1053,True,True,True,True
1054,True,True,True,True
1055,True,False,True,True
1056,True,True,True,True
1057,True,True,True,True
1058,True,False,False,True
1059,True,False,True,True
1060,True,False,True,True
1061,True,False,True,True
1062,True,True,True,True
1063,True,True,True,True
1064,True,True,True,True
1065,True,True,True,True
1066,True,True,True,True
1067,True,False,True,True
1068,True,False,True,True
1069,True,True,True,True
1070,True,True,True,True
1071,True,True,True,True
1072,True,False,True,True
1073,True,True,True,True
1074,True,True,True,True
1075,True,True,True,True
1076,True,False,True,True
1077,True,False,False,True
1078,True,True,True,True
1079,True,True,True,True
1080,True,True,True,True
1081,True,False,False,True
1082,True,True,True,True
1083,True,True,True,True
1084,True,True,True,True
1085,True,False,True,True
1086,True,False,False,True
1087,True,True,True,True
1088,True,True,True,True
1089,True,True,True,True
1090,True,False,True,True
1091,True,True,True,True
1092,True,True,True,True
1093,True,True,True,True
1094,True,True,True,True
1095,True,True,True,True
1096,True,True,True,True
1097,True,False,True,True
1098,True,True,True,True
1099,True,True,True,True
1100,True,True,True,True
1101,True,False,True,True
1102,True,True,True,True
1103,True,True,True,True
1104,True,True,True,True
1105,True,True,True,True
1106,True,False,False,True
1107,True,True,True,True
1108,True,False,True,True
1109,True,False,True,True
1110,True,True,True,True
1111,True,True,True,True
1112,True,True,True,True
1113,True,False,False,True
1114,True,False,True,True
1115,True,False,True,True
1116,True,True,True,True
1117,True,True,True,True
1118,False,False,False,False
1119,True,False,True,True
1120,True,False,False,True
1121,True,False,False,True
1122,True,True,True,True
1123,True,False,True,True
1124,True,False,True,True
1125,True,True,True,True
1126,True,False,True,True
1127,True,True,True,True
1128,True,True,True,True
1129,True,True,True,True
1130,True,True,True,True
1131,True,True,True,True
1132,True,True,True,True
1133,True,False,False,True
1134,True,False,True,True
1135,True,False,True,True
1136,True,True,True,True
1137,True,True,True,True
1138,True,True,True,True
1139,True,True,True,True
1140,False,False,False,False
1141,True,True,True,True
1142,True,True,True,True
1143,True,True,True,True
1144,True,True,True,True
1145,True,True,True,True
1146,True,True,True,True
1147,True,True,True,True
1148,True,False,True,True
1149,True,False,False,True
1150,True,True,True,True
1151,True,True,True,True
1152,True,True,True,True
1153,True,False,False,True
1154,True,False,False,True
1155,True,True,True,True
1156,True,True,True,True
1157,True,True,True,True
1158,True,True,True,True
1159,True,True,True,True
1160,True,True,True,True
1161,True,True,True,True
1162,True,True,True,True
1163,True,False,False,True
1164,True,True,True,True
1165,True,False,False,True
1166,True,False,False,True
1167,True,True,True,True
1168,True,True,True,True
1169,True,True,True,True
1170,True,True,True,True
1171,True,True,True,True
1172,True,True,True,True
1173,True,True,True,True
1174,True,True,True,True
1175,True,True,True,True
1176,True,True,True,True
1177,True,True,True,True
1178,True,False,True,True
1179,True,True,True,True
1180,True,True,True,True
1181,True,True,True,True
1182,True,True,True,True
1183,True,True,True,True
1184,True,False,True,True
1185,True,True,True,True
1186,True,False,True,True
1187,True,False,False,True
1188,True,True,True,True
1189,True,True,True,True
1190,True,True,True,True
1191,True,False,True,True
1192,True,True,True,True
1193,True,True,True,True
1194,True,True,True,True
1195,True,False,True,True
1196,True,True,True,True
1197,True,False,True,True
1198,True,False,True,True
1199,True,False,True,True
1200,True,True,True,True
1201,True,True,True,True
1202,True,True,True,True
1203,True,True,True,True
1204,True,True,True,True
1205,True,True,True,True
1206,True,False,True,True
1207,True,False,True,True
1208,True,True,True,True
1209,True,False,True,True
1210,True,True,True,True
1211,True,False,True,True
1212,True,True,True,True
1213,True,True,True,True
1214,True,True,True,True
1215,True,False,True,True
1216,True,False,True,True
1217,True,True,True,True
1218,True,True,True,True
1219,True,False,True,True
1220,True,True,True,True
1221,True,True,True,True
1222,True,True,True,True
1223,True,False,False,True
1224,True,True,True,True
1225,True,True,True,True
1226,True,True,True,True
1227,True,False,True,True
1228,True,False,True,True
1229,True,True,True,True
1230,True,True,True,True
1231,True,True,True,True
1232,True,True,True,True
1233,True,True,True,True
1234,True,True,True,True
1235,True,False,True,True
1236,True,True,True,True
1237,True,False,True,True
1238,True,True,True,True
1239,True,True,True,True
1240,True,True,True,True
1241,True,False,False,True
1242,True,False,True,True
1243,True,True,True,True
1244,True,False,False,True
1245,True,True,True,True
1246,True,True,True,True
1247,True,False,True,True
1248,True,False,True,True
1249,True,False,True,True
1250,True,False,True,True
1251,True,True,True,True
1252,True,True,True,True
1253,True,False,True,True
1254,True,False,False,True
1255,True,False,True,True
1256,True,True,True,True
1257,True,False,False,True
1258,True,True,True,True
1259,True,True,True,True
1260,True,False,True,True
1261,True,False,False,True
1262,True,False,True,True
1263,True,False,True,True
1264,True,True,True,True
1265,True,True,True,True
1266,True,False,True,True
1267,True,True,True,True
1268,True,True,True,True
1269,True,False,True,True
1270,True,False,False,True
1271,True,True,True,True
1272,True,False,False,True
1273,True,True,True,True
1274,True,True,True,True
1275,True,False,True,True
1276,True,True,True,True
1277,True,True,True,True
1278,True,True,True,True
1279,True,True,True,True
1280,True,True,True,True
1281,True,False,False,True
1282,True,True,True,True
1283,True,False,True,True
1284,True,False,True,True
1285,True,True,True,True
1286,True,True,True,True
1287,True,True,True,True
1288,True,False,True,True
1289,True,True,True,True
1290,True,False,False,True
1291,True,True,True,True
1292,True,True,True,True
1293,True,True,True,True
1294,True,True,True,True
1295,True,False,True,True
1296,True,True,True,True
1297,True,False,False,True
1298,True,False,False,True
1299,True,False,True,True
1300,True,False,True,True
1301,True,False,False,True
1302,True,True,True,True
1303,True,True,True,True
1304,True,False,True,True
1305,True,False,False,True
1306,True,True,True,True
1307,True,False,False,True
1308,True,True,True,True
1309,True,True,True,True
1310,True,False,True,True
1311,True,True,True,True
1312,True,False,True,True
1313,True,False,True,True
1314,True,True,True,True
1315,True,True,True,True
1316,True,True,True,True
1317,True,True,True,True
1318,True,True,True,True
1319,True,False,False,True
1320,True,True,True,True
1321,True,False,False,True
1322,False,False,False,False
1323,True,True,True,True
1324,True,True,True,True
1325,True,False,True,True
1326,True,True,True,True
1327,True,False,True,True
1328,True,True,True,True
1329,True,False,True,True
1330,True,True,True,True
1331,True,False,True,True
1332,True,True,True,True
1333,True,True,True,True
1334,True,True,True,True
1335,False,False,False,False
1336,True,False,True,True
1337,True,True,True,True
1338,True,True,True,True
1339,True,True,True,True
1340,True,True,True,True
1341,True,True,True,True
1342,True,False,True,True
1343,True,False,True,True
1344,True,False,True,True
1345,True,False,False,True
1346,True,False,True,True
1347,True,False,True,True
1348,True,False,True,True
1349,True,True,True,True
1350,True,False,True,True
1351,True,False,True,True
1352,True,True,True,True
1353,True,False,True,True
1354,True,False,False,True
1355,True,False,True,True
